pincode,state,latitude,longitude
110001,New Delhi,28.62807465,77.21784973
110002,New Delhi,28.63912773,77.23944092
110003,New Delhi,28.59873009,77.22299194
110004,New Delhi,28.61584091,77.20375824
110005,New Delhi,28.65024185,77.18899536
110006,New Delhi,28.65598488,77.23162079
110007,New Delhi,28.68737221,77.20819855
110008,New Delhi,28.64297104,77.15975952
110010,New Delhi,28.5745163,77.09037781
110011,New Delhi,28.60441399,77.21090698
110012,New Delhi,28.63707542,77.15422058
110013,New Delhi,28.58737373,77.25413513
110014,New Delhi,28.58137894,77.25440216
110015,New Delhi,28.65505219,77.14865112
110016,New Delhi,28.54667091,77.19786835
110017,New Delhi,28.54464149,77.21268463
110018,New Delhi,28.63794899,77.08297729
110019,New Delhi,28.54287148,77.25499725
110020,New Delhi,28.31653595,77.68269348
110021,New Delhi,28.57928658,77.17164612
110022,New Delhi,28.56891251,77.17262268
110023,New Delhi,28.57552147,77.19670105
110024,New Delhi,28.56880379,77.24337006
110025,New Delhi,28.53904724,77.28850555
110026,New Delhi,28.65823174,77.13787842
110027,New Delhi,28.64476013,77.11665344
110028,New Delhi,28.62971497,77.14221954
110029,New Delhi,28.57029343,77.20357513
110030,New Delhi,28.51527405,77.19799042
110031,New Delhi,28.65382957,77.27280426
110032,New Delhi,28.67647362,77.28567505
110033,New Delhi,28.72131157,77.17201233
110034,New Delhi,28.694561,77.13612366
110035,New Delhi,28.6805954,77.1630249
110036,New Delhi,28.81738281,77.16883087
110037,New Delhi,28.54428864,77.12746429
110038,New Delhi,28.51310349,77.1068573
110039,New Delhi,28.7978878,77.04210663
110040,New Delhi,28.84991646,77.09049988
110041,New Delhi,28.66676712,77.05078125
110042,New Delhi,28.7564373,77.13105011
110043,New Delhi,28.5829277,76.96941376
110044,New Delhi,28.51440048,77.29817963
110045,New Delhi,28.59220314,77.08312225
110046,New Delhi,28.60694313,77.10158539
110047,New Delhi,28.46642876,77.13568878
110048,New Delhi,28.54304504,77.24034119
110049,New Delhi,28.55956841,77.2226181
110051,New Delhi,28.65316582,77.28694916
110052,New Delhi,28.68358803,77.17529297
110053,New Delhi,28.6919136,77.2798233
110054,New Delhi,28.68409348,77.22168732
110055,New Delhi,28.64349937,77.21238708
110056,New Delhi,28.68002892,77.10669708
110057,New Delhi,28.56670189,77.16099548
110058,New Delhi,28.6187973,77.08638763
110059,New Delhi,28.62248421,77.05181122
110060,New Delhi,28.63871765,77.18515015
110061,New Delhi,28.54695129,77.05142212
110062,New Delhi,28.51296806,77.23723602
110063,New Delhi,28.67119408,77.1065979
110064,New Delhi,28.62572861,77.11444855
110065,New Delhi,28.57400322,77.24326324
110066,New Delhi,28.55799866,77.18226624
110067,New Delhi,28.52674103,77.16841125
110070,New Delhi,28.52044296,77.16220093
110071,New Delhi,28.55321503,77.00217438
110072,New Delhi,28.65109634,76.94659424
110073,New Delhi,28.56473923,76.88946533
110081,New Delhi,28.71872711,77.00675964
110082,New Delhi,28.79161072,77.10231781
110083,New Delhi,28.69246674,77.08809662
110084,New Delhi,28.73764801,77.20449829
110088,New Delhi,28.70880508,77.16448212
110091,New Delhi,28.59915543,77.2976532
110092,New Delhi,28.63084412,77.30594635
110093,New Delhi,28.69607353,77.30245209
110094,New Delhi,28.71620369,77.27266693
110096,New Delhi,28.60809517,77.33036041
121001,Uttar Pradesh,28.39418983,77.30281067
121002,Uttar Pradesh,28.41577339,77.32467651
121005,Uttar Pradesh,28.36411667,77.29541779
121006,Uttar Pradesh,28.3721981,77.32553101
121007,Uttar Pradesh,28.3905201,77.32309723
121101,Uttar Pradesh,28.34943008,77.38828278
121102,Uttar Pradesh,28.141222,77.33288574
122001,Haryana,28.42943954,77.04295349
